time,stock_name,flag,positive,negative,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5
2016-03-31,TEST_TICKER,0,0,0,38.01678243436156,38.31014146503017,37.883436495562286,38.08345413208008,4930300,up,0.0,51.1515604189378,0.04144511568309513,0.226286201485685,0.31111803797623594
2016-04-01,TEST_TICKER,0,0,0,37.72342557141852,38.383484064192814,37.57674477597428,38.28347396850586,4525700,up,0.0,60.76549748109703,0.0495289242406051,0.20093548497209923,0.226286201485685
2016-04-04,TEST_TICKER,0,0,0,38.43014090243946,39.60358175601585,38.33013338618697,39.47690200805664,8108100,up,0.0,59.22420141762909,0.0918566458115414,0.23729173699704376,0.20093548497209923
2016-04-05,TEST_TICKER,0,0,0,39.030216217041016,39.71027835891634,38.73018842748385,39.030216217041016,6779400,up,0.05277154630202732,64.21556663894415,0.0990170126583651,0.3751055540978996,0.3751055540978996
2016-04-06,TEST_TICKER,0,0,0,39.0168672469818,39.936951287551935,39.0168672469818,39.93028259277344,6322800,up,0.17476498068882762,57.932070760674904,0.131512576787179,0.5084194135820965,0.5084194135820965
2016-04-07,TEST_TICKER,1,1,1,39.616917539449645,39.93694874100285,39.17687781651609,39.53691101074219,7827600,up,0.25862829921280434,57.92012343623452,0.13400041585227965,0.6697009516217065,0.6697009516217065
2016-04-08,TEST_TICKER,0,0,0,39.663601619746224,39.87028542072529,38.78351938977248,38.98353958129883,5750000,up,0.2850366272572755,60.8754970504597,0.11510762318815046,0.7601755980113296,0.6697009516217065
2016-04-11,TEST_TICKER,0,0,0,39.063553228143014,39.50359315138597,38.83686584081405,39.00354766845703,4894000,up,0.29486176642423345,59.71223234260428,0.10237118503723575,0.8388019918723444,0.7601755980113296
2016-04-12,TEST_TICKER,0,0,0,39.32356107938456,40.03695881897274,39.130209624597754,39.93028259277344,7243700,up,0.3342924787150344,56.0183921520821,0.12240932602283698,0.8954249116928068,0.8388019918723444
2016-04-13,TEST_TICKER,0,0,0,40.3005084920626,40.38801658030418,39.51294340129112,39.755271911621094,7023000,up,0.3604181837226277,51.61715664111219,0.1241998921071931,0.9835086964250337,0.8954249116928068
2016-04-14,TEST_TICKER,0,0,0,39.81585294144462,40.04471846513501,39.71488187565734,39.903358459472656,5185600,up,0.37315595398301266,56.34701611842323,0.12682757189826582,1.05887080652127,0.9835086964250337
2016-04-15,TEST_TICKER,0,0,0,40.08511917633571,40.213016247790655,39.566805817633245,40.05819320678711,4660800,up,0.3656807259342535,58.44996833918276,0.12980325940291354,1.1357953539202583,1.05887080652127
2016-04-18,TEST_TICKER,0,0,0,40.05145563379111,40.60342506903437,39.916828378604656,40.307247161865234,6089400,up,0.36733434909101226,56.693172206982275,0.1355733916380766,1.2322842247729753,1.2322842247729753
2016-04-19,TEST_TICKER,0,0,0,40.44859587120649,41.21596772156796,40.16587843971499,40.502445220947266,6149300,up,0.38092872609006656,60.5345227133202,0.14122273584405318,1.373213097111858,1.373213097111858
2016-04-20,TEST_TICKER,0,0,0,40.502452056177994,41.13519935507016,40.36109460047701,40.711124420166016,4443600,up,0.39538838888411476,56.36639884812303,0.1469876266411235,1.512573292732661,1.512573292732661
2016-04-21,TEST_TICKER,0,0,0,40.771701012836225,41.35059630642671,40.751507826994974,41.31020736694336,5702400,up,0.42672895454230064,47.74675618367013,0.16578446144713965,1.6169516219447644,1.6169516219447644
2016-04-22,TEST_TICKER,0,0,0,41.26308912797752,41.72755295493716,41.034223601478814,41.34386444091797,5103000,up,0.448137630950746,47.68496925557112,0.17265453837986486,1.73413163542849,1.73413163542849
2016-04-25,TEST_TICKER,0,0,0,41.14866350776137,41.2630950034041,40.892871984593555,41.04096221923828,4320500,up,0.4333934113358455,56.91612238672068,0.16188460454913836,1.8307149873117652,1.73413163542849
2016-04-26,TEST_TICKER,0,0,0,41.03420837654651,41.256343614464996,40.744760830786035,41.014015197753906,4281700,up,0.40187138104566134,61.95550506622467,0.15000480467206365,1.8803282389006455,1.8307149873117652
2016-04-27,TEST_TICKER,0,0,0,41.014027562270634,41.384250502612765,40.55629654111286,40.85920715332031,6679200,up,0.35243986437889263,69.66437768239817,0.13302222853542015,1.9013169145366149,1.8803282389006455
2016-04-28,TEST_TICKER,0,0,0,39.41870555421037,41.8015966079668,38.725376182274154,41.195777893066406,16235400,up,0.2522506065168386,79.1079652465508,0.12929274719891115,1.9648754102464139,1.9013169145366149
2016-04-29,TEST_TICKER,1,1,0,41.08135041661683,41.3640679163843,40.711127381413014,41.0611572265625,13052700,up,0.2181288356797606,87.74976160118405,0.11738867702602016,1.9918962429209515,1.9648754102464139
2016-05-02,TEST_TICKER,0,0,0,40.91978744398063,41.73427838983264,40.85920532425111,41.357322692871094,9512000,up,0.19968433895051563,84.87576501116038,0.1156306766497602,2.0165450867351353,1.9918962429209515
2016-05-03,TEST_TICKER,0,0,0,41.05442809060832,41.79487418034056,40.87268167197191,41.579471588134766,9316600,up,0.18560143816260277,81.86042606934285,0.11748562023920718,2.0601160978288178,2.0165450867351353
2016-05-04,TEST_TICKER,0,0,0,41.263094915320096,41.49869324882481,41.067885527850805,41.37079620361328,8691400,up,0.1681774756966179,80.57623875012226,0.10741102217872037,2.079323841783477,2.0601160978288178
2016-05-05,TEST_TICKER,0,0,0,41.33714306720835,42.00354660280912,41.121740474808426,41.963157653808594,8646200,up,0.17725341243403547,72.67935062630553,0.11761386847249893,2.0844004221692316,2.079323841783477
2016-05-06,TEST_TICKER,0,0,0,41.73428249789875,42.23913268940559,41.498686768982566,42.077579498291016,10880700,up,0.19760210591990712,65.76661181722551,0.12290109368492366,2.146831694145966,2.0844004221692316
2016-05-09,TEST_TICKER,0,0,0,41.97661335615792,42.99304400226226,41.92276143349758,42.87861251831055,9917400,up,0.25275037040643,54.836113553937544,0.1480911987832288,2.253398142555774,2.253398142555774
2016-05-10,TEST_TICKER,0,0,0,42.750706062595576,42.918989432113875,42.62281162616983,42.9055290222168,12103400,up,0.3098710854990583,42.84252629728996,0.15849472028188336,2.4186949946850334,2.4186949946850334
2016-05-11,TEST_TICKER,1,1,1,42.92572755947517,42.966116497605896,42.16508591538491,42.205474853515625,9375200,up,0.29927881421975644,35.0669935853277,0.13754250482224006,2.6224892192255567,2.6224892192255567
2016-05-12,TEST_TICKER,1,0,0,42.31318764252146,42.45454511276918,41.99681396051818,42.06412887573242,9589500,up,0.2629223493935342,35.12030693850001,0.1172603887981934,2.735577560444,2.735577560444
2016-05-13,TEST_TICKER,0,0,0,41.835250691057745,42.31317488993274,41.61311538950136,41.73427963256836,7339600,up,0.1971034585036746,34.1408513761264,0.09047295520570917,2.755489049473127,2.735577560444
2016-05-16,TEST_TICKER,1,0,0,41.67371188783115,42.15163625158277,41.39772714292372,42.03720474243164,6707400,up,0.1349772962005784,36.68533176706107,0.08102349879470316,2.6864158586695694,2.755489049473127
2016-05-17,TEST_TICKER,1,1,1,42.03046679229928,42.26606512511404,39.37832097097056,40.556304931640625,31528900,up,-0.04008243109613341,28.714932432444748,0.02294769122192873,2.3858113816615614,2.3858113816615614
2016-05-18,TEST_TICKER,0,0,0,40.300502040582785,40.92651640278647,40.09183229838191,40.69765090942383,10622000,up,-0.16767485699562856,25.371882999290364,-0.007546017328265712,1.9737518493073551,1.9737518493073551
2016-05-19,TEST_TICKER,1,1,1,40.428404406645264,40.62361119653932,39.64756954366641,39.903358459472656,9917900,down,-0.311745111119333,14.913323384606059,-0.053830220635493836,1.532235842642848,1.532235842642848
2016-05-20,TEST_TICKER,0,0,0,40.13895018239252,40.42166501180758,39.73506855319901,40.17933654785156,11259400,down,-0.40623913634820896,13.599486524540147,-0.07207874204170492,1.0833066361454513,1.0833066361454513
2016-05-23,TEST_TICKER,1,1,0,40.21972346146278,40.28030557440963,39.802381443273525,39.91681289672851,6468900,down,-0.47180907583417775,17.049257740210557,-0.09197994502195583,0.6794903897255935,0.6794903897255935
2016-05-24,TEST_TICKER,1,0,0,40.20626678565098,41.00056458308356,40.06490935588774,40.85920715332031,8888100,down,-0.4630624817361608,18.000167015397484,-0.07205907696224186,0.28677249004356753,0.28677249004356753
2016-05-25,TEST_TICKER,0,0,0,41.1149978602573,41.37751953003801,40.919788517363706,41.20923614501953,5857600,down,-0.39742370937822047,19.15365709233441,-0.04924406379844656,0.041193662652759144,0.041193662652759144
2016-05-26,TEST_TICKER,0,0,0,41.06114805499129,41.848713104813136,40.99383572464442,41.666969299316406,6537100,down,-0.31039834687606227,19.01614559847684,-0.020306661174114733,-0.07942634050012032,-0.07942634050012032
2016-05-27,TEST_TICKER,0,0,0,41.72755334422436,42.54204439079153,41.666971217003606,42.21220779418945,5768000,down,-0.18299501382873729,21.394244693943538,0.01500701049445272,-0.08594966724990627,-0.07942634050012032
2016-05-31,TEST_TICKER,0,0,0,42.21220033856001,42.737246204338526,42.16508119991072,42.36029052734375,7147900,down,-0.061843313821885015,25.708444389259842,0.04050303995492696,0.011226625765850429,-0.08594966724990627
